episode,timestep,reward
91,800,-0.3691
182,1600,-0.6332
272,2400,-0.4949
375,3200,-0.501
471,4000,-0.527
558,4800,-0.2939
650,5600,-0.5283
751,6400,-0.5503
842,7200,-0.6548
926,8000,-0.4353
1009,8800,-0.6213
1103,9600,-0.5169
1198,10400,-0.4589
1293,11200,-0.585
1392,12000,-0.5617
